Test Lead,Initiative,Bug id,Bug Title,PDD,Severity,Node Name,Created Date,UAT category,Analysis Comments (select from drop down),Detailed PT comments
Jaya,AMS Solution Configuration Agent,4423694,UAT___AI-Foundry___Groups : Agent is not able to Update Group name of custom groups,3/28/2026 0:00,Medium,agentcrafters,3/12/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4423802,UAT____AI Foundry_The agent does not display a validation error when an invalid service type is provided in the prompt.,3/28/2026 0:00,Medium,agentcrafters,3/12/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4424871,UAT____AI Foundry_The agent does not display a validation error when an invalid Contract offering is provided in the prompt.,3/28/2026 0:00,Medium,agentcrafters,3/13/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4425443,UAT__AI--Foundry___Groups: Agent is not throwing any warning after importing Groups with Service types having mismatched Contract Offering as mentioned in User story.,3/28/2026 0:00,Medium,agentcrafters,3/13/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4425603,UAT____AI Foundry_Default profiles not getting added for Turkey but Agent shows as data saved successfully,3/28/2026 0:00,Low,agentcrafters,3/13/2026,Bug leakage,,
Jaya,AMS Solution Configuration Agent,4425647,"UAT____AI Foundry_Unable to Create Profile – Error ""Couldn't Create Profiles: 0",3/28/2026 0:00,Medium,agentcrafters,3/13/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4425855,UAT___AI-Foundry___Parameters : Agent is not throwing any info for missing country in a prompt.,3/28/2026 0:00,Medium,agentcrafters,3/13/2026,Bug leakage,,
Jaya,AMS Solution Configuration Agent,4428667,UAT__AI--Foundry__Groups : Agent is not showing any exported file for groups screen but shows exported successfully,3/28/2026 0:00,High,GEN AI - Solution Super Agent,3/16/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4428995,"Regression: UAT___AI__Foundry___Groups : Agent is throwing error as ""No groups found"" even though prompt is provided for creating default groups",3/28/2026 0:00,High,agentcrafters,3/16/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4429094,UAT___AI-Foundry___groupwide : Agent is not throwing proper error msg when Group wide Fixed price without Total value is given.,3/28/2026 0:00,Medium,agentcrafters,3/16/2026,Bug leakage,,
Jaya,AMS Solution Configuration Agent,4429460,UAT____AI Foundry_SC004 Costing: Agent is giving system error validation when trying to import incorrect file,3/28/2026 0:00,Medium,agentcrafters,3/16/2026,Both,,
Jaya,AMS Solution Configuration Agent,4429506,UAT___AI--Foundry___Pricing Input : Agent is not able to apply Transition YOY custom margin,3/28/2026 0:00,High,agentcrafters,3/16/2026,Both,,
Jaya,AMS Solution Configuration Agent,4429580,"UAT____AI Foundry_Gen AI: The AM section is disabled when a prompt is submitted, the system should display a validation message indicating that the AM section is disabled.",3/28/2026 0:00,Medium,agentcrafters,3/16/2026,Broken functionality,,
